appendix	discipline	title	grade	groups
الف	معماری	دیوارچینی بر اساس پیوست ۶ استاندارد ۲۸۰۰	1	1,2,3,4
الف	معماری	کفسازی و شیب‌بندی (بام و سرویس بهداشتی)	1	1,2,3,4
الف	معماری	عایق‌بندی صوتی، رطوبتی و حرارتی	1	1,2,3,4
الف	معماری	نازک‌کاری کف و بدنه (کاشی و سرامیک، پله)	2	2,3,4
الف	معماری	سقف کاذب	2	2,3,4
الف	معماری	نماسازی و مشاعات	2	2,3,4
الف	معماری	کارهای فلزی سبک	3	3,4
الف	معماری	درب و ریل آسانسور	3	3,4
الف	معماری	محوطه‌سازی	3	3,4
ب	مکانیک	شبکه جمع‌آوری فاضلاب و آب باران	1	1,2,3,4
ب	مکانیک	لوله‌کشی آب سرد و گرم	1	1,2,3,4
ب	مکانیک	سیستم اطفاء حریق	2	2,3,4
ب	مکانیک	کانال‌ها و دریچه‌های هوا	2	2,3,4
ب	مکانیک	پمپ‌خانه و موتورخانه	1	1,2,3,4
ب	مکانیک	نصب تجهیزات	2	2,3,4
پ	برق	برق‌رسانی (لوله‌کشی و سینی‌گذاری)	1	1,2,3,4
پ	برق	اجرای سیم و کابل	1	1,2,3,4
پ	برق	تابلو و تجهیزات	1	1,2,3,4
پ	برق	سیستم اتصال به زمین و صاعقه‌گیر	2	2,3,4
پ	برق	سیستم اعلام حریق	1	1,2,3,4
پ	برق	نصب تجهیزات داخلی، مشاعات و آسانسور	2	2,3,4
ت (ایمنی)	ایمنی	نظام مدیریت ایمنی (مستندات و شواهد میدانی)	1	1,2,3,4
ت (ایمنی)	ایمنی	جلسات کمیته ایمنی و مصوبات آن	1	1,2,3,4
ت (ایمنی)	ایمنی	اطلاع‌رسانی و هشدار	1	1,2,3,4
ت (ایمنی)	ایمنی	کنترل ایمنی عملیات اجرایی	1	1,2,3,4
ت (ایمنی)	ایمنی	استفاده از تجهیزات حفاظت فردی	1	1,2,3,4
ت (ایمنی)	ایمنی	ایمنی محیط کارگاه و ساختمان‌ها	1	1,2,3,4
ت (ایمنی)	ایمنی	چک‌لیست‌های ایمنی روزانه و هفتگی	1	1,2,3,4
ت (ایمنی)	ایمنی	بهداشت محیط کار	1	1,2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	برنامه و ساختار مدیریت کیفیت پروژه (QMP)	1	1,2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	کنترل هماهنگی نقشه‌ها، تهیه نقشه shop	1	1,2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	ثبت و پیگیری عدم انطباق‌ها	2	2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	استراتژی تأمین و پذیرش مصالح	2	2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	مدارک آموزش کارکنان	2	2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	آنالیز ریسک‌های پروژه	2	2,3,4
ت (مدیریت کیفیت)	مدیریت کیفیت	مدیریت ادعاها و تغییرات	2	2,3,4
