row	project	built	land	type	start	end
1	پاسار	4229	3080	مالکی	1402/06/01	1407/02/31
2	آرینا	8048	4122	مالکی	1402/06/01	1407/09/14
3	سید مر (رومان)	37169	3581	مشارکتی	1398/12/01	1405/06/29
4	سرو لرک	32030	7230	مالکی	1398/12/01	1404/11/21
5	لاله مهاجران	11552	37357	پیمانکاری	1401/01/09	1405/03/31
6	سروستان ۲ فاز اول - ائمه	12495	6072	مالکی	1399/04/01	1405/09/24
7	ارغوان ۱	5979	1560	مالکی	1403/09/01	1406/05/23
8	باران ۱ پردیس	14988	26774	مالکی	1399/02/15	1406/02/07
9	تجاری هزار	1863	3628	مشارکتی سازنده	1399/10/01	1404/01/10
10	ویلایی افتخار رویان	34517	21867	مالکی	1394/11/20	1407/02/13
11	ویلایی سروستان ۲ فاز ۲	5453	6271	مالکی	1404/01/01	1407/01/06
12	خدایی	2801	29551	پیمانکاری	1391/06/18	1405/01/31
13	مرکز شهر آدینه - A	92223	77378	مشارکتی سازنده	1398/07/01	1405/02/30
14	مرکز شهر آدینه - B	9126	32748	مشارکتی سازنده	1398/07/01	1405/02/30
15	مرکز شهر آدینه - C	9853	34096	مشارکتی سازنده	1398/07/01	1405/02/30
16	مرکز شهر آدینه - D	5664	19702	مشارکتی سازنده	1398/07/01	1405/02/30
17	مرکز شهر آدینه - E	2882	12253	مشارکتی سازنده	1398/07/01	1405/12/29
18	مرکز شهر آدینه - F	3261	14431	مشارکتی سازنده	1398/07/01	1405/12/29
19	مرکز شهر آدینه - G	3595	15320	مشارکتی سازنده	1398/07/01	1405/12/29
20	مرکز شهر آدینه - H	3621	15417	مشارکتی سازنده	1398/07/01	1405/12/29
21	هتل رنسانس کیش	7516	5500	مالکی	1402/06/01	1406/06/16
22	آسمان فرهنگ شهر	15760	95534	مشارکتی سازنده	-	1408/12/28
23	جمهوری	355	2592	مشارکتی	1403/11/01	1406/02/08
24	راین ۲	7209	14064	مالکی	1395/03/01	1405/09/12
25	ستاره ۷۷ - شهریور	8323	33502	مشارکتی مالک	1391/06/11	1405/04/28
26	ستاره ۷۸ - مهرگان	11467	5681	مشارکتی مالک	1391/06/11	1405/04/22
27	آبان ۸۱ - آذر	8144	3860	مشارکتی مالک	1401/03/01	1407/03/31
28	تالار افتخار (صدرا) فاز ۱	13395	34576	مشارکتی سازنده	1398/10/01	1406/02/29
29	تالار افتخار (صدرا) فاز ۲	6067	17768	مشارکتی سازنده	1400/10/01	1407/02/17
30	تالار افتخار (صدرا) فاز ۳	34900	19996	مشارکتی سازنده	1401/07/01	1407/01/28
31	تالار افتخار (صدرا) فاز ۴	34900	18855	مشارکتی سازنده	1401/09/01	1407/08/14
32	وله (علی شهر بشهر)	5853	7014	مالکی	1399/07/01	1405/01/31
33	اقدام ملی ۱ زین	4000	14434	پیمانکاری	1401/02/01	1404/11/21
34	اقدام ملی ۲ زین	5000	18245	مالکی	1404/12/05	1404/12/05
35	اقدام ملی ۳ زین	6330	23733	پیمانکاری	1401/02/01	1405/03/30
36	اقدام ملی ۴ زین	7000	25263	پیمانکاری	1401/02/01	1405/03/30
37	پروژه ۱۴۰ واحدی نهضت ملی منظریه	6643	19306	پیمانکاری	1405/01/15	1406/07/15
38	پروژه مشارکتی بهارستان	6785	17457	مشارکتی سازنده	1403/01/01	1407/06/17
39	ششوار	1155	7338	مشارکتی سازنده	1402/05/01	1406/06/31
40	مجموعه مسکونی تجاری شفق (برج)	2640	16394	مشارکتی سازنده	1402/01/01	1406/12/14
41	نهضت ملی مسکن بهارستان	10716	36714	پیمانکاری	1404/01/01	1406/08/01
42	دفتر ساری	456	3371	مالکی	1403/09/01	1407/08/28
43	روما پاسار	690	4238	مشارکتی سازنده	1402/09/01	1405/11/07
