# نمایه سرفصل‌های اصلی؛ متن بندها در docs/sources/checklist-*.txt ثبت شده است.
# code|title|discipline|phase|knownLeafCount
1-1|تعریف و تصویب پروژه|مشترک|planning|10
1-2|طراحی مفهومی|معماری|planning|7
1-3|معماری فاز یک|معماری|planning|9
1-4|کنترل مدارک|مشترک|planning|10
1-5|طراحی سازه|سازه|planning|8
1-6|برق فاز یک|برق|planning|12
1-7|برق فاز دو|برق|planning|8
1-8|مکانیک فاز یک|مکانیک|planning|11
1-9|مکانیک فاز دو|مکانیک|planning|9
2-1|سازماندهی سایت|مشترک|preparation|4
2-2|تخریب|سازه|preparation|6
2-3|ساختمان‌های موقت|مشترک|preparation|7
2-4|تجهیزات کارگاه|مشترک|preparation|11
2-5|حفاظت کارگاه|ایمنی|preparation|5
3-1|گودبرداری|سازه|excavation|14
4-1|مستندات سازه|سازه|structure|14
4-2|منابع سازه|سازه|structure|8
4-3|بخش ارائه‌نشده در متن|سازه|structure|
4-4|قالب‌بندی و بتن‌ریزی|سازه|structure|5
4-5|اجرای سقف|سازه|structure|8
5-1|دیوار|معماری|rough|
5-2|کفسازی و عایق|معماری|rough|
5-3|نازک‌کاری بدنه و کف|معماری|finishes|
5-4|نما و مشاعات|معماری|finishes|
5-5|کارهای فلزی سبک|معماری|finishes|
5-6|کارهای چوبی|معماری|finishes|
5-7|سقف کاذب؛ متن ناقص|معماری|finishes|
6-1-3|لوله‌گذاری و سینی کابل|برق|services|12
6-1-4|سیم و کابل|برق|services|10
6-1-5|تابلوهای برق|برق|commissioning|8
6-1-6|اتصال به زمین|برق|services|
6-1-7|جریان ضعیف و حریق|برق|services|
6-1-8|نصب تجهیزات|برق|commissioning|
6-2|آسانسور؛ مدارک، منابع، چاه، در و ریل و تجهیزات|برق|commissioning|
7-1|فاضلاب و آب باران؛ مدارک، منابع و اجرا|مکانیک|services|
7-2|آب سرد و گرم؛ مدارک، منابع و اجرا|مکانیک|services|
7-3|اطفاء حریق؛ مدارک، منابع و اجرا|مکانیک|services|
7-4|کانال، دریچه و دودکش؛ مدارک، منابع و اجرا|مکانیک|services|
7-5|شیرآلات و تجهیزات؛ مدارک، منابع و اجرا|مکانیک|commissioning|
8-1|مدیریت ایمنی|ایمنی|all|10
8-2|مدارک ایمنی|ایمنی|all|7
8-3|آموزش ایمنی|ایمنی|all|6
8-4|ایمنی عملیات|ایمنی|all|6
8-5|حفاظت فردی|ایمنی|all|2
8-6|ایمنی سایت|ایمنی|all|12
9-1|محوطه‌سازی|معماری|handover|16
10-1|مدیریت کیفیت|مدیریتی|all|12
10-2|ارزش و ریسک|مدیریتی|all|3
10-3|هزینه|مدیریتی|all|8
10-4|زمان|مدیریتی|all|5
10-5|مدارک|مدیریتی|all|9
10-6|تدارکات|مدیریتی|all|6
10-7|قراردادها؛ بندهای پایانی بریده|مدیریتی|all|10
11-1|خاتمه پروژه|مشترک|handover|11
