page	company	project	status	type	built	land	progress	start	end
1	البرز	پاسار	در حال اجرا	مالکی	4229	3080	0.00	1402/06/01	1407/02/31
1	الوند	آرینا	در حال اجرا	مالکی	8048	4122	20.21	1402/06/01	1407/09/14
1	الوند	سید مر (رومان)	در حال اجرا	مشارکتی	37169	3581	92.51	1398/12/01	1405/06/29
1	الوند	سرو لرک	در حال اجرا	مالکی	32030	7230	99.37	1398/12/01	1404/11/21
1	الوند	لاله مهاجران	در حال اجرا	پیمانکاری	11552	37357	89.41	1401/01/09	1405/03/31
1	پردیس	سروستان ۲ فاز اول - ائمه	در حال اجرا	مالکی	12495	6072	78.78	1399/04/01	1405/09/24
1	پردیس	ارغوان ۱	در حال اجرا	مالکی	5979	1560	17.53	1403/09/01	1406/05/23
1	پردیس	باران ۱ پردیس	در حال اجرا	مالکی	14988	26774	77.18	1399/02/15	1406/02/07
1	پردیس	تجاری هزار	توقف اجرا	مشارکتی سازنده	1863	3628	96.61	1399/10/01	1404/01/10
1	پردیس	ویلایی افتخار رویان	در حال اجرا	مالکی	34517	21867	47.51	1394/11/20	1407/02/13
1	پردیس	ویلایی سروستان ۲ فاز ۲	در حال اجرا	مالکی	5453	6271	18.08	1404/01/01	1407/01/06
1	تهران	خدایی	غیرفعال	پیمانکاری	2801	29551	99.69	1391/06/18	1405/01/31
1	تهران	مرکز شهر آدینه - A	غیرفعال	مشارکتی سازنده	92223	77378	98.57	1398/07/01	1405/02/30
1	تهران	مرکز شهر آدینه - B	غیرفعال	مشارکتی سازنده	9126	32748	95.55	1398/07/01	1405/02/30
1	تهران	مرکز شهر آدینه - C	غیرفعال	مشارکتی سازنده	9853	34096	99.65	1398/07/01	1405/02/30
1	تهران	مرکز شهر آدینه - D	غیرفعال	مشارکتی سازنده	5664	19702	99.46	1398/07/01	1405/02/30
1	تهران	مرکز شهر آدینه - E	در حال اجرا	مشارکتی سازنده	2882	12253	68.88	1398/07/01	1405/12/29
1	تهران	مرکز شهر آدینه - F	در حال اجرا	مشارکتی سازنده	3261	14431	71.49	1398/07/01	1405/12/29
1	تهران	مرکز شهر آدینه - G	غیرفعال	مشارکتی سازنده	3595	15320	60.98	1398/07/01	1405/12/29
1	تهران	مرکز شهر آدینه - H	غیرفعال	مشارکتی سازنده	3621	15417	56.37	1398/07/01	1405/12/29
1	جنوب	هتل رنسانس کیش	در حال اجرا	مالکی	7516	5500	17.18	1402/06/01	1406/06/16
1	جنوب	آسمان فرهنگ شهر	توقف اجرا	مشارکتی سازنده	15760	95534	0.00	-	1408/12/28
1	جنوب	جمهوری	غیرفعال	مشارکتی	355	2592	3.50	1403/11/01	1406/02/08
1	جنوب	راین ۲	در حال اجرا	مالکی	7209	14064	67.73	1395/03/01	1405/09/12
1	جنوب	ستاره ۷۷ - شهریور	در حال اجرا	مشارکتی مالک	8323	33502	79.16	1391/06/11	1405/04/28
1	جنوب	ستاره ۷۸ - مهرگان	در حال اجرا	مشارکتی مالک	11467	5681	77.29	1391/06/11	1405/04/22
1	جنوب	آبان ۸۱ - آذر	در حال اجرا	مشارکتی مالک	8144	3860	11.94	1401/03/01	1407/03/31
1	جنوب	تالار افتخار (صدرا) فاز ۱	در حال اجرا	مشارکتی سازنده	13395	34576	42.73	1398/10/01	1406/02/29
1	جنوب	تالار افتخار (صدرا) فاز ۲	غیرفعال	مشارکتی سازنده	6067	17768	18.74	1400/10/01	1407/02/17
1	جنوب	تالار افتخار (صدرا) فاز ۳	غیرفعال	مشارکتی سازنده	34900	19996	14.97	1401/07/01	1407/01/28
1	جنوب	تالار افتخار (صدرا) فاز ۴	غیرفعال	مشارکتی سازنده	34900	18855	12.18	1401/09/01	1407/08/14
1	جنوب	وله (علی شهر بشهر)	در حال اجرا	مالکی	5853	7014	99.5	1399/07/01	1405/01/31
1	زاینده رود	اقدام ملی ۱ زین	در حال اجرا	پیمانکاری	4000	14434	99.16	1401/02/01	1404/11/21
1	زاینده رود	اقدام ملی ۲ زین	در حال اجرا	مالکی	5000	18245	99.22	1404/12/05	1404/12/05
1	زاینده رود	اقدام ملی ۳ زین	در حال اجرا	پیمانکاری	6330	23733	85.13	1401/02/01	1405/03/30
1	زاینده رود	اقدام ملی ۴ زین	در حال اجرا	پیمانکاری	7000	25263	83.71	1401/02/01	1405/03/30
1	زاینده رود	پروژه ۱۴۰ واحدی نهضت ملی منظریه	در حال اجرا	پیمانکاری	6643	19306	8.80	1405/01/15	1406/07/15
2	زاینده رود	پروژه مشارکتی بهارستان	در حال اجرا	مشارکتی سازنده	6785	17457	14.10	1403/01/01	1407/06/17
2	زاینده رود	ششوار	در حال اجرا	مشارکتی سازنده	1155	7338	36.04	1402/05/01	1406/06/31
2	زاینده رود	مجموعه مسکونی تجاری شفق (برج)	در حال اجرا	مشارکتی سازنده	2640	16394	31.43	1402/01/01	1406/12/14
2	زاینده رود	نهضت ملی مسکن بهارستان	خروج از سبد	پیمانکاری	10716	36714	10.38	1404/01/01	1406/08/01
2	شمال	دفتر ساری	در حال اجرا	مالکی	456	3371	4.14	1403/09/01	1407/08/28
2	شمال	روما پاسار	در حال اجرا	مشارکتی سازنده	690	4238	44.38	1402/09/01	1405/11/07
2	شمال	تاوارن گرگان	خروج از سبد	مالکی	24112	29724	4.74	1401/07/01	1408/10/21
2	شمال	هجیبود	-	مالکی	1623	9422	0.00	-	-
2	شمال شرق	خلیل آباد (ملک) مشهد	توقف اجرا	مشارکتی سازنده	2200	12772	15.33	1400/09/01	1406/09/30
2	شمال شرق	لاله (لاله) مشهد	در حال اجرا	مشارکتی سازنده	3235	14963	34.08	1399/05/15	1406/03/31
2	شمال شرق	الماس	در حال اجرا	مشارکتی سازنده	1289	8723	5.71	1401/06/01	1406/05/31
2	شمال غرب	آسین. فاز یک (تالار قاز)	در حال اجرا	مشارکتی سازنده	10344	70406	4.35	1404/06/01	1408/05/30
2	شمال غرب	ایران (هلورین) - فاز ۱	در حال اجرا	مشارکتی سازنده	6256	24267	33.46	1402/07/01	1406/10/30
2	شمال غرب	ایران (هلورین) - فاز ۲	در حال اجرا	مشارکتی سازنده	21169	43951	12.51	1403/01/01	1407/04/02
2	شمال غرب	ایران (هلورین) - فاز ۳	در حال اجرا	مشارکتی سازنده	5157	22033	11.10	1403/01/01	1407/12/29
2	شمال غرب	پروژه نویان فاز (آیندگان)	در حال اجرا	مالکی	22917	122887	36.93	1398/06/05	1407/05/31
2	شمال غرب	دبیرستان اردبیل (هومر) فاز ۱	در حال اجرا	مشارکتی سازنده	14200	33439	22.09	1402/05/01	1406/09/30
2	شمال غرب	مجتمع مسکونی پروژه گلشهر لاله رجان	در حال اجرا	مالکی	?	?	94.56	1401/11/01	1405/05/31
2	شمال غرب	مرکز مالی (ریس) زنجان	در حال اجرا	مشارکتی سازنده	1354	7410	29.60	1402/11/01	1404/06/31
2	شمال غرب	پاس گستر تبریز	در حال اجرا	پیمانکاری	12681	29248	19.74	1403/08/01	1407/07/30
2	شمال غرب	باغ مادو	در حال اجرا	مشارکتی سازنده	20000	10580	2.31	1404/06/01	1408/05/31
2	گیلان	باران بلوک جنوبی	در حال اجرا	مشارکتی سازنده	6220	33947	92.05	1398/06/01	1405/06/31
2	گیلان	باران بلوک شمالی	در حال اجرا	مشارکتی سازنده	3824	17550	58.23	1399/03/01	1407/04/31
2	گیلان	لاکان دشتی	توقف اجرا	مشارکتی سازنده	54620	19310	3.50	1402/07/01	1408/03/31
2	گیلان	مسکونی کالکای	غیرفعال	مشارکتی سازنده	11045	25864	2.50	1403/02/01	1408/01/28
2	منطقه غرب	فردوس کرمانشاه	در حال اجرا	مشارکتی سازنده	3847	19219	0.00	-	1408/06/31
2	منطقه غرب	فردیس	در حال اجرا	مدیریت پیمان	1200	6700	67.16	1404/12/01	1405/06/31
2	نوین پایدار	آیندگان تهران	در حال اجرا	مشارکتی سازنده	5727	11813	26.96	1404/01/01	1406/02/25
2	نوین پایدار	نام پردیس (ردیس نوین)	توقف اجرا	مشارکتی سازنده	5323	11043	33.93	1403/03/01	1407/02/31
2	نوین پایدار	بلوک M1،M2 آسمان البرز	غیرفعال	مشارکتی سازنده	3000	23094	99.30	1401/07/01	1404/10/30
2	نوین پایدار	بهار	-	مشارکتی سازنده	2860	2090	0.00	-	1407/09/30
2	نوین پایدار	پیمانکاری مرکز شهر اندیشه زون B نوین پایدار	غیرفعال	پیمانکاری	9126	29654	99.93	1400/01/01	1404/09/30
